CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,SUBSET
A knife lay on a table in a dark and smoky bar,A partner pleads guilty to the bar .,1,ROCStories,AGCI-WK,AGCI
A black woman balancing a large platter on her head that has many bagged items on it .,The platter is due in stores .,2,SNLI-dev,AGCI-WK,AGCI
I had a dream last night,The night is a time period .,5,ROCStories,AGCI-WK,AGCI
Chuck and Jason were contentedly watching TV one evening,The evening is a day .,3,ROCStories,AGCI-WK,AGCI
A contortionist is doing a move on stage for people.,an athlete is wearing a grey colored clothing .,3,SNLI-train,AGCI-NN,AGCI
"A lady is helping another woman work in a silver compartment , which is most likely related to nurse-work .",A suitcase blows up in the compartment .,2,SNLI-test,AGCI-WK,AGCI
A woman dressed in all red is making a '' rawr '' face and a claw imitation with her hand .,A following is a summary of the imitation .,1,SNLI-train,AGCI-WK,AGCI
Two people swimming on a floating while a black dog follows .,The floating is handed over to police .,2,SNLI-train,AGCI-WK,AGCI
Jill always helped her mom cook,The cook is missed .,2,ROCStories,AGCI-WK,AGCI
Every time my Mom washes clothes the smell so fresh,The smell is placed in an orbit .,1,ROCStories,AGCI-WK,AGCI
A bride and her groom prepare to say their vows .,The vows are an assurance .,4,SNLI-train,AGCI-WK,AGCI
A blond-haired boy wearing a black polo playing a guitar and singing into a microphone with a band .,A person is played the polo .,1,SNLI-train,AGCI-WK,AGCI
A person wearing a helmet and riding suit is riding a four wheeler on a dusty plot of land .,The plot is opened up under an administration .,1,SNLI-dev,AGCI-WK,AGCI
A dark-haired drummer is playing his set with enthusiasm .,The enthusiasm is an interest .,4,SNLI-dev,AGCI-WK,AGCI
A dark-haired main on a bucking bronco .,The main leaks .,1,SNLI-train,AGCI-WK,AGCI
"A race car speeds down the raceway at the blink of an eye , driving so fast that the camera was only able to capture the car in focus .",The raceway employs people .,4,SNLI-train,AGCI-WK,AGCI
Yesterday there was a massive snowstorm,As a result I was stuck in traffic for ages.,4,ROCStories-1st,ROCStories-2nd,ROC
Darrel was waiting in the drive through for half an hour,A person is charged with the drive .,1,ROCStories,AGCI-WK,AGCI
A female researcher videotaping a specimen .,A person hires the researcher .,3,SNLI-dev,AGCI-WK,AGCI
"A man catching a boy from falling in the water , while standing on rock stepping stones .",The stones unturn .,2,SNLI-train,AGCI-WK,AGCI
Several people are marching and one is holding a menorah as he marches .,A person dresses the menorah .,1,SNLI-train,AGCI-WK,AGCI
"Two young women in a lab , doctor 's office or classroom filling vials .",The filling is possible .,5,SNLI-train,AGCI-WK,AGCI
"A woman is looking at the nutrition facts of a food item , while her friend plays on her smartphone .",The facts are absurd .,3,SNLI-train,AGCI-WK,AGCI
Every day John - would go to the river to catch some fish,"Upset with himself, John decided to change his ways.",2,ROCStories-1st,ROCStories-3rd,ROC
Justin has been in a relationship with selena for a while,The while is a time .,5,ROCStories,AGCI-WK,AGCI
"A snow hut illuminated internally with a figure in a blue snowsuit standing at the entrance , in the background stands what appears to be a snowman .",A person builds the hut .,3,SNLI-train,AGCI-WK,AGCI
"A basketball player wearing white dribbles the ball , while being guarded by another player in a black uniform .",The dribbles become a steady flow .,1,SNLI-train,AGCI-WK,AGCI
A father and his daughter are riding a lawn mover down a street while dressed in American colors .,The mover goes to be the stock market .,1,SNLI-test,AGCI-WK,AGCI
A young man loses his balance on a stepladder as three others stand around in various poses.,a young man puts his face near the corner .,2,SNLI-train,AGCI-NN,AGCI
Timothy heard a weird noise in his house upstairs,The noise is heard .,5,ROCStories,AGCI-WK,AGCI
A man dressed in yellow and black is performing a magic trick at a marina .,A group takes over the marina .,3,SNLI-train,AGCI-WK,AGCI
A little child is looking towards someone while their head is in a painting designed like a bean .,The bean gathers troops .,1,SNLI-dev,AGCI-WK,AGCI
One day I was out mowing my lawn,A person cuts the lawn .,3,ROCStories,AGCI-WK,AGCI
Woman stupidly spills coffee while her jerk of a friend watches .,The jerk is a motion .,1,SNLI-train,AGCI-WK,AGCI
My wife and I decided we needed to set up a budget,The budget is a fund .,5,ROCStories,AGCI-WK,AGCI
A body boarder with yellow flippers gets thrown around by a wave .,A person swims with the flippers .,3,SNLI-train,AGCI-WK,AGCI
Paul was carrying his dishes to the sink,A group approaches the sink .,3,ROCStories,AGCI-WK,AGCI
Two men stand at the mid-way division of a city road .,The division is a separation .,5,SNLI-train,AGCI-WK,AGCI
Carl went to a neighborhood restaurant for brunch,The restaurant is optimized .,3,ROCStories,AGCI-WK,AGCI
A police officer walking by a large beauty advert .,The officer is suspended .,2,SNLI-train,AGCI-WK,AGCI
Three men and a machine are doing demolition on a street.,there are men outside .,5,SNLI-train,AGCI-NN,AGCI
A young man popping a wheelie on his bicycle while riding down a country road .,The bicycle is a wheeled vehicle .,5,SNLI-train,AGCI-WK,AGCI
The police aimed their weapons at the fugitive.,The fugitive dropped his gun.,4,COPA-premise,COPA-effect,COPA
A conclusion of a doubles tennis match on a brown clay court where the two players in black have their arms raised as if in victory .,The conclusion is a happening .,5,SNLI-train,AGCI-WK,AGCI
Alissa 's throat had been hurting,The throat is opened .,2,ROCStories,AGCI-WK,AGCI
A US Air-force member is handing off a little girl and her toy unicorn to a local citizen .,The unicorn is an imaginary being .,1,SNLI-dev,AGCI-WK,AGCI
A man wearing a brown shirt and green pans is pulling a rickshaw down a street,A son takes the rickshaw .,3,SNLI-dev,AGCI-WK,AGCI
Iris and her best friend went to get spray tans for vacation,An exhibition is presented by the vacation .,3,ROCStories,AGCI-WK,AGCI
Tam wanted to join the army,The army is great .,3,ROCStories,AGCI-WK,AGCI
One person holds a giant snowball over two others on the ground in a snowy background .,The snowball is a sand verbena .,2,SNLI-train,AGCI-WK,AGCI
"A blue heron , wings , outstreached , prepares for landing .",The heron is a wading bird .,5,SNLI-train,AGCI-WK,AGCI
Two women wearing aprons and hairnets look at each other while they reach into metal canisters .,A bomb is contained in the canisters .,2,SNLI-test,AGCI-WK,AGCI
Jane was visiting New Orleans with her sorority,"Suddenly, some boys asked if they wanted to ride on their float.",4,ROCStories-1st,ROCStories-3rd,ROC
A girl takes a break from her crafts to tend to her medical needs with an inhaler .,A person is labelled the inhaler .,1,SNLI-train,AGCI-WK,AGCI
A pale owl is flying outside in the daytime .,The owl runs .,3,SNLI-train,AGCI-WK,AGCI
I had to call technical support for a problem with my computer,Women are put through the computer .,1,ROCStories,AGCI-WK,AGCI
Amy and her dad were driving out of state,The state is a political unit .,1,ROCStories,AGCI-WK,AGCI
"A father watches his son on his lap doodle on a piece of paper , while the father talks on the phone .",The doodle is a drawing .,5,SNLI-train,AGCI-WK,AGCI
A man dressed in a white robe and black jacket with a scarf on his head stands in the doorway holding some sort of animal head in his hands .,A person looks for the sort .,1,SNLI-train,AGCI-WK,AGCI
"A young woman is wearing a red shirt , black riding helmet , black pants , and black shoes , while riding in a saddle on a white horse .",The saddle is a cut .,1,SNLI-train,AGCI-WK,AGCI
A man and a woman do the jitterbug on the dance floor while onlookers cheer .,The jitterbug is a social dancing .,4,SNLI-train,AGCI-WK,AGCI
A man in a blue hat moves a file cabinet with a dolly .,The dolly never go to make a team .,2,SNLI-train,AGCI-WK,AGCI
Jeremiah was a policeman who got injured while on duty,He spent two weeks watching tv on the couch in his cast.,3,ROCStories-1st,ROCStories-2nd,ROC
A boy in an orange shirt grinds a skateboard ramp .,An industry eases off the ramp .,1,SNLI-train,AGCI-WK,AGCI
A protest going on in California over racism at Stonehurst Elementary School .,The racism is a discrimination .,5,SNLI-train,AGCI-WK,AGCI
A man buying pastries in a grocery store .,The buying is a purchase .,5,SNLI-train,AGCI-WK,AGCI
A little girl making arts and crafts with small umbrellas and corks .,The corks are a plug .,4,SNLI-train,AGCI-WK,AGCI
The girl is wearing a blue outfit and holding out her hand to a rainbow .,A person buys the outfit .,4,SNLI-train,AGCI-WK,AGCI
I missed my girlfriend's phone call.,I called her back.,4,COPA-premise,COPA-effect,COPA
Soccer players standing around during a stoppage for an injured player .,The stoppage causes a wing .,1,SNLI-train,AGCI-WK,AGCI
Surfer surfing in a beautiful with birds around and waves with beautiful texture,The texture goes with a person .,1,SNLI-train,AGCI-WK,AGCI
Suzy was paying her grandmother a visit,The grandmother is a grandparent .,5,ROCStories,AGCI-WK,AGCI
"A woman in a beige sweater and a man in a black jacket , among others , shopping in a Christmas department of a store .",The department conducts an investigation .,1,SNLI-train,AGCI-WK,AGCI
Two construction workers in a truck as the one in the helmet is about to turn the ignition .,The ignition tears gas .,1,SNLI-train,AGCI-WK,AGCI
"A motorcycle entertainer at night in red jersey , gray pants , red boots in front of large awaiting crowd of spectators .",The entertainer dies without a will .,3,SNLI-train,AGCI-WK,AGCI
man in a boat looking at a disaster .,The disaster is a destruction .,3,SNLI-train,AGCI-WK,AGCI
Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen .,The mitt slams into a post .,1,SNLI-test,AGCI-WK,AGCI
The girl joined the debate team.,She learned communication skills.,4,COPA-premise,COPA-effect,COPA
A church choir is rehearsing with white books open in their hands and an instructor in front conducting .,The conducting causes jitters .,2,SNLI-train,AGCI-WK,AGCI
A politician gives a speech as people watch .,The politician deputises in an absence .,1,SNLI-train,AGCI-WK,AGCI
A young man is having his dreadlocks cutoff by a woman with scissors .,The cutoff faces a dilemma .,1,SNLI-dev,AGCI-WK,AGCI
The politician was convicted of fraud.,He campaigned for re-election.,2,COPA-premise,COPA-effect,COPA
Two girls wearing hats are running through snow drifts outside .,A ground moves under the drifts .,2,SNLI-test,AGCI-WK,AGCI
A man wearing black shorts with white stripes is diving into some water .,The stripes have a support .,1,SNLI-train,AGCI-WK,AGCI
Young lady in bikini lying on the beach,Men dress in the bikini .,2,SNLI-train,AGCI-WK,AGCI
A woman is putting fuel in her car while talking on her cellphone .,A uranium is used as the fuel .,2,SNLI-train,AGCI-WK,AGCI
An older gentleman enjoys a scenic stroll through the countryside .,The stroll is a walk .,5,SNLI-dev,AGCI-WK,AGCI
"A man in a wetsuit , with scuba gear on his back , leans over on a rocky plateau .",A person reaches the plateau .,2,SNLI-train,AGCI-WK,AGCI
A fire extinguisher sits on a barricade next to a racetrack with smoke rising from a truck 's hood .,A pilot puts out the extinguisher .,1,SNLI-train,AGCI-WK,AGCI
The little girl is spinning around making her hair fly in front of the silver car .,Witnesses see the fly .,1,SNLI-train,AGCI-WK,AGCI
Sara felt a suspicious lump in her neck,The lump is an enlargement .,4,ROCStories,AGCI-WK,AGCI
"Two little girls , in the grass , collecting dandelions .",The collecting levels out .,1,SNLI-train,AGCI-WK,AGCI
Larry was addicted to smoking,Inspectors find the smoking .,1,ROCStories,AGCI-WK,AGCI
We loved going on the banana boat,The boat is basic .,3,ROCStories,AGCI-WK,AGCI
A man in a fluorescent orange vest and hard hat stands at the top of a yellow ladder fixing a telephone wire .,A person lands on the top .,2,SNLI-train,AGCI-WK,AGCI
A group of constructions workers lifting a bathtub .,A person fills the bathtub .,2,SNLI-dev,AGCI-WK,AGCI
A man reads will sitting outside .,The will is a purpose .,3,SNLI-train,AGCI-WK,AGCI
Kathy suffers from a rare genetic disease called HHT,Scientists believe the disease .,3,ROCStories,AGCI-WK,AGCI
Rihanna looked over the directions for the experiment,The directions are a social control .,3,ROCStories,AGCI-WK,AGCI
Sam heard a bang at the front door of his store,A person was knocking on the window.,5,ROCStories-1st,ROCStories-2nd,ROC
A Pee Wee league football player wearing a purple jersey navigates the football past opposing players in white jerseys .,A gene is engineered into the jersey .,1,SNLI-train,AGCI-WK,AGCI
